title,price,link,images,store_id,product_id
OPPO RENO5 STARRY BLACK,3799,https://www.electroplanet.ma/p2821452-oppo-reno5-starry-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/a/t/athena_reno5-4g__product-images__black__front_6_cmyk_20201026.jpg,electroplanet,oppo-reno5-4g-8gb-128gb
APPLE IPHONE 7 SILVER 32GB,3999,https://www.electroplanet.ma/p1346394-apple-iphone-7-silver-32gb.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone-7.jpg,electroplanet,
OPPO RENO6 Z AURORE,3999,https://www.electroplanet.ma/p2888151-oppo-reno6-z-aurore.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/r/e/reno-6-.jpg,electroplanet,
OPPO RENO6 Z NOIR,3999,https://www.electroplanet.ma/p2888134-oppo-reno6-z-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/r/e/reno-6.jpg,electroplanet,
XIAOMI F3 BLANC,4399,https://www.electroplanet.ma/p2842280-xiaomi-f3-blanc.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/p/o/poco-f3-blanc.jpg,electroplanet,
XIAOMI F3 BLEU,4399,https://www.electroplanet.ma/p2842281-xiaomi-f3-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/p/o/poco-f3-bleu.jpg,electroplanet,
XIAOMI F3 NOIR,4399,https://www.electroplanet.ma/p2842282-xiaomi-f3-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/p/o/poco-f3-noir.jpg,electroplanet,
SAMSUNG A72 8G 256G BLANC,4749,https://www.electroplanet.ma/p2822513-samsung-a72-8g-256g-blanc.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2822513.jpg,electroplanet,samsung-galaxy-a72-8gb-256gb
SAMSUNG A72 8G 256G BLEU,4749,https://www.electroplanet.ma/p2822511-samsung-a72-8g-256g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2822511.jpg,electroplanet,samsung-galaxy-a72-8gb-256gb
SAMSUNG A72 8G 256G NOIR,4749,https://www.electroplanet.ma/p2822512-samsung-a72-8g-256g-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2822512.jpg,electroplanet,samsung-galaxy-a72-8gb-256gb
SAMSUNG A72 8G 256G VIOLET,4749,https://www.electroplanet.ma/p2822510-samsung-a72-8g-256g-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2822510.jpg,electroplanet,samsung-galaxy-a72-8gb-256gb
XIAOMI MI10T 8G 128G BLACK,4799,https://www.electroplanet.ma/p2585044-xiaomi-mi10t-8g-128g-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/m/i/mi10t-black_1_.jpg,electroplanet,xiaomi-mi-10t-5g-8gb-128gb
XIAOMI MI10T 8G 128G LUNAR SILVER,4799,https://www.electroplanet.ma/p2594212-xiaomi-mi10t-8g-128g-lunar-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/m/i/mi10t-silver_1_.jpg,electroplanet,xiaomi-mi-10t-5g-8gb-128gb
APPLE IPHONE 7 PLUS 128 GB GOLD,4899,https://www.electroplanet.ma/p2842026-apple-iphone-7-plus-128-gb.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/m/smartphone-ios_iphone-7_256-gold_1347736_1.jpg,electroplanet,
XIAOMI MI10T SILVER,5399,https://www.electroplanet.ma/p2815942-xiaomi-mi10t-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/x/i/xiaomi_mi_10t_pro_5g_8gb_128gb_02_plata_ad_l.jpg,electroplanet,
APPLE IPHONE 8 PLUS 64 GB GOLD,5699,https://www.electroplanet.ma/p2842028-apple-iphone-8-plus-64-gb-g.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone-_8-plus-_256gb_-gold_1881518_2.jpg,electroplanet,
APPLE IPHONE 8 PLUS 64GB SILVER,5699,https://www.electroplanet.ma/p2842029-apple-iphone-8-plus-64gb-si.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_-8-plus_-64gb-_silver_1881514_1.jpg,electroplanet,
APPLE IPHONE 11 64 GO NOIR,8790,https://www.electroplanet.ma/p2827993-apple-iphone-11-64-go-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_11_black_2-up_vertical_us-en_screen.jpg,electroplanet,
SAMSUNG GALAXY S21 GRIS,9490,https://www.electroplanet.ma/p2817232-samsung-galaxy-s21-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/m/sm-g990_g991_s21_phantom-gray_front_201110.jpg,electroplanet,
SAMSUNG GALAXY S21 VIOLET,9490,https://www.electroplanet.ma/p2817233-samsung-galaxy-s21-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/m/sm-g990_g991_s21_phantom-violet_front_201110.jpg,electroplanet,
APPLE IPHONE 11 128GB BLACK,9590,https://www.electroplanet.ma/p2827999-apple-iphone-11-128gb-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_11_black_2-up_vertical_us-en_screen_2.jpg,electroplanet,
SAMSUNG Z FLIP3 8G 256G BLACK,9990,https://www.electroplanet.ma/p2870708-samsung-z-flip3-8g-256g-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870708-2_1.jpg,electroplanet,samsung-galaxy-z-flip3-5g-8gb-256gb
SAMSUNG Z FLIP3 8G 256G GREAM,9990,https://www.electroplanet.ma/p2870706-samsung-z-flip3-8g-256g-gream.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870706-1.jpg,electroplanet,samsung-galaxy-z-flip3-5g-8gb-256gb
SAMSUNG Z FLIP3 8G 256G GREEN,9990,https://www.electroplanet.ma/p2870707-samsung-z-flip3-8g-256g-green.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870707-2.jpg,electroplanet,samsung-galaxy-z-flip3-5g-8gb-256gb
